,xc,yc,radius,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80
0,6,10,22,7,32,5,32,7,-12,5,-12,28,11,-16,11,28,9,28,9,8,32,4,32,8,-12,4,-12,28,12,-16,12,28,8,28,8,9,32,3,32,9,-12,3,-12,28,13,-16,13,28,7,28,7,10,31,2,31,10,-11,2,-11,27,14,-15,14,27,6,27,6,11,31,1,31,11,-11,1,-11,27,15,-15,15,27,5,27,5,12,31,0,31,12,-11,0,-11,27,16,-15,16,27,4,27,4,13,31,-1,31,13,-11,-1,-11,27,17,-15,17,27,3,27,3,14,30,-2,30,14,-10,-2,-10,26,18,-14,18,26,2,26,2,15,30,-3,30,15,-10,-3,-10,26,19,-14,19,26,1,26,1,16,29,-4,29,16,-9,-4,-9,25,20,-13,20,25,0,25,0
1,12,11,29,13,40,11,40,13,-18,11,-18,41,12,-17,12,41,10,41,10,14,40,10,40,14,-18,10,-18,41,13,-17,13,41,9,41,9,15,40,9,40,15,-18,9,-18,41,14,-17,14,41,8,41,8,16,40,8,40,16,-18,8,-18,41,15,-17,15,41,7,41,7,17,39,7,39,17,-17,7,-17,40,16,-16,16,40,6,40,6,18,39,6,39,18,-17,6,-17,40,17,-16,17,40,5,40,5,19,39,5,39,19,-17,5,-17,40,18,-16,18,40,4,40,4,20,39,4,39,20,-17,4,-17,40,19,-16,19,40,3,40,3,21,38,3,38,21,-16,3,-16,39,20,-15,20,39,2,39,2,22,38,2,38,22,-16,2,-16,39,21,-15,21,39,1,39,1
2,6,3,35,7,38,5,38,7,-32,5,-32,41,4,-29,4,41,2,41,2,8,38,4,38,8,-32,4,-32,41,5,-29,5,41,1,41,1,9,38,3,38,9,-32,3,-32,41,6,-29,6,41,0,41,0,10,38,2,38,10,-32,2,-32,41,7,-29,7,41,-1,41,-1,11,38,1,38,11,-32,1,-32,41,8,-29,8,41,-2,41,-2,12,37,0,37,12,-31,0,-31,40,9,-28,9,40,-3,40,-3,13,37,-1,37,13,-31,-1,-31,40,10,-28,10,40,-4,40,-4,14,37,-2,37,14,-31,-2,-31,40,11,-28,11,40,-5,40,-5,15,37,-3,37,15,-31,-3,-31,40,12,-28,12,40,-6,40,-6,16,36,-4,36,16,-30,-4,-30,39,13,-27,13,39,-7,39,-7
3,6,11,30,7,41,5,41,7,-19,5,-19,36,12,-24,12,36,10,36,10,8,41,4,41,8,-19,4,-19,36,13,-24,13,36,9,36,9,9,41,3,41,9,-19,3,-19,36,14,-24,14,36,8,36,8,10,41,2,41,10,-19,2,-19,36,15,-24,15,36,7,36,7,11,40,1,40,11,-18,1,-18,35,16,-23,16,35,6,35,6,12,40,0,40,12,-18,0,-18,35,17,-23,17,35,5,35,5,13,40,-1,40,13,-18,-1,-18,35,18,-23,18,35,4,35,4,14,40,-2,40,14,-18,-2,-18,35,19,-23,19,35,3,35,3,15,39,-3,39,15,-17,-3,-17,34,20,-22,20,34,2,34,2,16,39,-4,39,16,-17,-4,-17,34,21,-22,21,34,1,34,1
4,7,15,38,8,53,6,53,8,-23,6,-23,45,16,-31,16,45,14,45,14,9,53,5,53,9,-23,5,-23,45,17,-31,17,45,13,45,13,10,53,4,53,10,-23,4,-23,45,18,-31,18,45,12,45,12,11,53,3,53,11,-23,3,-23,45,19,-31,19,45,11,45,11,12,53,2,53,12,-23,2,-23,45,20,-31,20,45,10,45,10,13,52,1,52,13,-22,1,-22,44,21,-30,21,44,9,44,9,14,52,0,52,14,-22,0,-22,44,22,-30,22,44,8,44,8,15,52,-1,52,15,-22,-1,-22,44,23,-30,23,44,7,44,7,16,52,-2,52,16,-22,-2,-22,44,24,-30,24,44,6,44,6,17,51,-3,51,17,-21,-3,-21,43,25,-29,25,43,5,43,5
5,14,8,20,15,28,13,28,15,-12,13,-12,34,9,-6,9,34,7,34,7,16,28,12,28,16,-12,12,-12,34,10,-6,10,34,6,34,6,17,28,11,28,17,-12,11,-12,34,11,-6,11,34,5,34,5,18,27,10,27,18,-11,10,-11,33,12,-5,12,33,4,33,4,19,27,9,27,19,-11,9,-11,33,13,-5,13,33,3,33,3,20,27,8,27,20,-11,8,-11,33,14,-5,14,33,2,33,2,21,26,7,26,21,-10,7,-10,32,15,-4,15,32,1,32,1,22,26,6,26,22,-10,6,-10,32,16,-4,16,32,0,32,0,23,25,5,25,23,-9,5,-9,31,17,-3,17,31,-1,31,-1,24,25,4,25,24,-9,4,-9,31,18,-3,18,31,-2,31,-2
6,6,12,22,7,34,5,34,7,-10,5,-10,28,13,-16,13,28,11,28,11,8,34,4,34,8,-10,4,-10,28,14,-16,14,28,10,28,10,9,34,3,34,9,-10,3,-10,28,15,-16,15,28,9,28,9,10,33,2,33,10,-9,2,-9,27,16,-15,16,27,8,27,8,11,33,1,33,11,-9,1,-9,27,17,-15,17,27,7,27,7,12,33,0,33,12,-9,0,-9,27,18,-15,18,27,6,27,6,13,33,-1,33,13,-9,-1,-9,27,19,-15,19,27,5,27,5,14,32,-2,32,14,-8,-2,-8,26,20,-14,20,26,4,26,4,15,32,-3,32,15,-8,-3,-8,26,21,-14,21,26,3,26,3,16,31,-4,31,16,-7,-4,-7,25,22,-13,22,25,2,25,2
7,5,8,28,6,36,4,36,6,-20,4,-20,33,9,-23,9,33,7,33,7,7,36,3,36,7,-20,3,-20,33,10,-23,10,33,6,33,6,8,36,2,36,8,-20,2,-20,33,11,-23,11,33,5,33,5,9,36,1,36,9,-20,1,-20,33,12,-23,12,33,4,33,4,10,35,0,35,10,-19,0,-19,32,13,-22,13,32,3,32,3,11,35,-1,35,11,-19,-1,-19,32,14,-22,14,32,2,32,2,12,35,-2,35,12,-19,-2,-19,32,15,-22,15,32,1,32,1,13,35,-3,35,13,-19,-3,-19,32,16,-22,16,32,0,32,0,14,34,-4,34,14,-18,-4,-18,31,17,-21,17,31,-1,31,-1,15,34,-5,34,15,-18,-5,-18,31,18,-21,18,31,-2,31,-2
8,8,10,40,9,50,7,50,9,-30,7,-30,48,11,-32,11,48,9,48,9,10,50,6,50,10,-30,6,-30,48,12,-32,12,48,8,48,8,11,50,5,50,11,-30,5,-30,48,13,-32,13,48,7,48,7,12,50,4,50,12,-30,4,-30,48,14,-32,14,48,6,48,6,13,50,3,50,13,-30,3,-30,48,15,-32,15,48,5,48,5,14,49,2,49,14,-29,2,-29,47,16,-31,16,47,4,47,4,15,49,1,49,15,-29,1,-29,47,17,-31,17,47,3,47,3,16,49,0,49,16,-29,0,-29,47,18,-31,18,47,2,47,2,17,49,-1,49,17,-29,-1,-29,47,19,-31,19,47,1,47,1,18,48,-2,48,18,-28,-2,-28,46,20,-30,20,46,0,46,0
9,12,4,42,13,46,11,46,13,-38,11,-38,54,5,-30,5,54,3,54,3,14,46,10,46,14,-38,10,-38,54,6,-30,6,54,2,54,2,15,46,9,46,15,-38,9,-38,54,7,-30,7,54,1,54,1,16,46,8,46,16,-38,8,-38,54,8,-30,8,54,0,54,0,17,46,7,46,17,-38,7,-38,54,9,-30,9,54,-1,54,-1,18,45,6,45,18,-37,6,-37,53,10,-29,10,53,-2,53,-2,19,45,5,45,19,-37,5,-37,53,11,-29,11,53,-3,53,-3,20,45,4,45,20,-37,4,-37,53,12,-29,12,53,-4,53,-4,21,45,3,45,21,-37,3,-37,53,13,-29,13,53,-5,53,-5,22,45,2,45,22,-37,2,-37,53,14,-29,14,53,-6,53,-6
